Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,season
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,45,61,73.8,654,199,23,30,76.7,15,17,88.2,3,5,60,0,0,0,0,0,2,0,0,6,21/22
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,393,514,76.5,7386,3006,143,161,88.8,209,262,79.8,37,75,49.3,0,0.4,0.3,-0.4,7,19,4,3,20,21/22
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1201,1490,80.6,22224,8000,462,523,88.3,597,693,86.1,117,231,50.6,0,0.4,0.7,-0.4,6,81,1,1,61,21/22
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,26,34,76.5,348,170,18,21,85.7,5,6,83.3,1,1,100,0,0.4,0.2,-0.4,3,2,3,0,4,21/22
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,206,250,82.4,2732,712,112,128,87.5,73,85,85.9,3,12,25,0,0.1,0.2,-0.1,2,21,3,0,20,21/22
Asmir Begović,ba BIH,GK,Everton,34,1987,3,39,85,45.9,1601,1416,2,2,100,14,14,100,23,68,33.8,0,0,0,0,0,0,0,0,0,21/22
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,632,841,75.1,8891,2023,367,432,85,191,250,76.4,32,68,47.1,6,3.7,3.3,2.3,32,37,29,10,73,21/22
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,912,1019,89.5,14966,3399,420,454,92.5,384,409,93.9,64,88,72.7,4,2.6,1.4,1.4,15,81,4,2,76,21/22
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,196,305,64.3,2718,483,116,159,73,54,89,60.7,10,15,66.7,1,1.3,1,-0.3,13,12,10,0,24,21/22
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,209,341,61.3,2955,687,132,166,79.5,50,85,58.8,15,45,33.3,1,0.5,0.8,0.5,6,7,11,9,16,21/22
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,144,177,81.4,1756,392,98,113,86.7,30,38,78.9,4,7,57.1,1,0.9,1.2,0.1,8,9,6,0,17,21/22
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,151,191,79.1,2212,828,88,97,90.7,51,63,81,8,18,44.4,0,0,0.1,0,0,12,1,0,17,21/22
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,10,13,76.9,140,31,4,5,80,4,5,80,1,1,100,0,0,0,0,0,0,0,0,0,21/22
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1061,1193,88.9,17341,3663,517,556,93,419,456,91.9,87,112,77.7,2,0.8,0.7,1.2,8,73,13,0,92,21/22
Willy Boly,ci CIV,DF,Wolves,30,1991,10,468,558,83.9,8303,3409,193,209,92.3,239,268,89.2,30,67,44.8,0,0.1,0.1,-0.1,1,20,0,0,20,21/22
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,574,863,66.5,9502,2529,302,372,81.2,167,225,74.2,74,171,43.3,10,6.1,4.3,3.9,41,30,24,3,66,21/22
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,89,117,76.1,1392,666,45,53,84.9,33,42,78.6,7,15,46.7,0,0,0,0,0,9,0,0,12,21/22
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,243,404,60.1,2594,572,167,249,67.1,48,87,55.2,1,7,14.3,0,1,0.3,-1,10,13,2,0,29,21/22
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,891,1196,74.5,13793,4197,463,547,84.6,291,389,74.8,77,147,52.4,3,2.6,3.2,0.4,40,97,22,3,106,21/22
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,21,21,100,365,28,10,10,100,10,10,100,1,1,100,0,0,0,0,0,1,0,0,2,21/22
Bryan,es ESP,FWMF,Tottenham,20,2001,1,50,64,78.1,660,188,32,36,88.9,11,15,73.3,3,4,75,0,0.1,0.2,-0.1,2,0,4,2,7,21/22
Emi Buendía,ar ARG,MFFW,Aston Villa,24,1996,21.1,711,902,78.8,10017,2688,418,482,86.7,199,248,80.2,42,79,53.2,6,5.8,4.2,0.2,48,71,43,3,117,21/22
