"","season","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","reg_season","after_covid","is_VAR"
"81",2016,"2017-03-05",1975,"Mexican Primera Division Torneo Clausura","Puebla","Tigres UANL",39.31,45.16,0.3753,0.3435,0.2812,1.35,1.33,NA,NA,0,2,1.12,1.71,1.54,0.49,0,2.1,0,0,0
"82",2016,"2017-03-17",1975,"Mexican Primera Division Torneo Clausura","Tijuana","Santos Laguna",45.22,40.39,0.4928,0.2495,0.2577,1.76,1.2,NA,NA,1,1,1.37,0.42,1.16,0.71,1.05,1.05,0,0,0
"83",2016,"2017-03-18",1975,"Mexican Primera Division Torneo Clausura","Querétaro","Pachuca",38.1,47.18,0.3371,0.3798,0.2831,1.27,1.36,NA,NA,3,0,0.82,0.47,0.67,1.16,2.82,0,0,0,0
"84",2016,"2017-03-18",1975,"Mexican Primera Division Torneo Clausura","Cruz Azul","Tigres UANL",41.83,46.22,0.3889,0.3142,0.2968,1.23,1.1,NA,NA,0,0,0.72,0.21,1.19,0.41,0,0,0,0,0
"85",2016,"2017-03-18",1975,"Mexican Primera Division Torneo Clausura","Monterrey","Atlas",48.26,39.18,0.5226,0.2171,0.2604,1.73,1.02,NA,NA,2,0,2.12,0.67,2.02,0.54,2,0,0,0,0
"86",2016,"2017-03-18",1975,"Mexican Primera Division Torneo Clausura","León","Toluca",39.26,40.89,0.4274,0.2976,0.275,1.49,1.27,NA,NA,2,3,1.96,1.67,1,0.92,2.1,3.15,0,0,0
"87",2016,"2017-03-18",1975,"Mexican Primera Division Torneo Clausura","Necaxa","Chiapas FC",37.32,31.72,0.4988,0.2245,0.2766,1.57,0.99,NA,NA,2,2,0.93,0.74,1.55,0.95,2.1,2.1,0,0,0
"88",2016,"2017-03-18",1975,"Mexican Primera Division Torneo Clausura","Guadalajara","Veracruz",43.07,31.75,0.5506,0.1884,0.261,1.72,0.89,NA,NA,2,0,0.89,0.42,2.02,1.43,1.63,0,0,0,0
"89",2016,"2017-03-19",1975,"Mexican Primera Division Torneo Clausura","Pumas Unam","Club América",42.27,45.2,0.4087,0.3218,0.2694,1.54,1.38,NA,NA,2,3,2.35,1,1.76,1.1,2.1,3.15,0,0,0
"90",2016,"2017-03-19",1975,"Mexican Primera Division Torneo Clausura","Puebla","Morelia",38.15,37.38,0.4561,0.2811,0.2628,1.68,1.33,NA,NA,0,1,0.57,0.58,0.98,0.44,0,1.05,0,0,0
"91",2016,"2017-03-31",1975,"Mexican Primera Division Torneo Clausura","Veracruz","Cruz Azul",31.27,41.77,0.3065,0.3992,0.2943,1.16,1.31,NA,NA,3,1,1.74,1.11,0.66,1.31,2.75,1.05,0,0,0
"92",2016,"2017-04-01",1975,"Mexican Primera Division Torneo Clausura","Chiapas FC","Pumas Unam",32.21,42.26,0.3175,0.4162,0.2663,1.46,1.62,NA,NA,0,3,0.65,1.92,1.06,1.31,0,2.72,0,0,0
"93",2016,"2017-04-01",1975,"Mexican Primera Division Torneo Clausura","Morelia","Guadalajara",38.02,43.51,0.3787,0.3366,0.2847,1.34,1.27,NA,NA,0,0,0.38,0.57,1.1,0.72,0,0,0,0,0
"94",2016,"2017-04-01",1975,"Mexican Primera Division Torneo Clausura","Tigres UANL","León",45.84,38.67,0.5111,0.2198,0.2691,1.63,0.95,NA,NA,0,1,1.6,0.49,1.86,0.75,0,1.05,0,0,0
"95",2016,"2017-04-01",1975,"Mexican Primera Division Torneo Clausura","Atlas","Tijuana",37.95,44.96,0.3608,0.3557,0.2835,1.33,1.31,NA,NA,3,3,2.54,1.37,1.78,0.77,3.15,3.15,0,0,0
"96",2016,"2017-04-01",1975,"Mexican Primera Division Torneo Clausura","Pachuca","Puebla",45.41,37.26,0.5213,0.2186,0.2601,1.73,1.02,NA,NA,0,0,1.23,0.16,1.07,0.83,0,0,0,0,0
"97",2016,"2017-04-01",1975,"Mexican Primera Division Torneo Clausura","Club América","Monterrey",45.47,49.47,0.4095,0.3164,0.2741,1.48,1.33,NA,NA,1,0,1.24,0.56,0.62,1.08,1.05,0,0,0,0
"98",2016,"2017-04-02",1975,"Mexican Primera Division Torneo Clausura","Toluca","Necaxa",41.69,36.89,0.4922,0.2332,0.2746,1.54,1.02,NA,NA,2,0,0.76,0.63,1.17,0.92,1.63,0,0,0,0
"99",2016,"2017-04-02",1975,"Mexican Primera Division Torneo Clausura","Santos Laguna","Querétaro",40.48,39.79,0.4523,0.2776,0.2701,1.57,1.23,NA,NA,1,0,1.19,0.25,3.32,0.67,1.05,0,0,0,0
"100",2016,"2017-04-07",1975,"Mexican Primera Division Torneo Clausura","Tijuana","Club América",44.41,45.72,0.426,0.3013,0.2727,1.51,1.28,NA,NA,0,0,0.85,0.53,1.54,0.95,0,0,0,0,0
"101",2016,"2017-04-08",1975,"Mexican Primera Division Torneo Clausura","Querétaro","Atlas",38.52,38.9,0.4364,0.2841,0.2795,1.48,1.17,NA,NA,1,4,0.65,0.76,0.59,0.78,1.05,3.73,0,0,0
