first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,season,now_cost,element_type
Cristhian,Stuani,4,0,54,1355,15,132.4,224,430,4,203,78.3,4,0,4,2.4,16/17,NA,NA
Fraser,Forster,0,0,134,3420,48,10,553.6,0,4,625,56.4,14,0,3,5,16/17,NA,NA
Paulo,Gazzaniga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Ryan,Bertrand,2,5,123,2507,36,442.4,517.4,255,9,575,121.5,12,0,3,3.9,16/17,NA,NA
Jose,Fonte,0,0,98,2934,46,128,654.4,221,10,592,100.2,11,0,4,3.2,16/17,NA,NA
Maya,Yoshida,1,1,78,2070,32,62.8,532.6,277,8,469,87.5,7,0,2,5.9,16/17,NA,NA
Matt,Targett,0,0,12,373,4,87.9,64.6,12,0,80,16.5,1,0,0,0.2,16/17,NA,NA
Florin,Gardos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Cédric,Soares,0,3,102,2515,36,648.9,591,155,11,584,139.6,11,0,7,2.7,16/17,NA,NA
Cuco,Martina,0,0,31,592,6,114.7,94.2,20,5,140,22.7,3,0,0,0.4,16/17,NA,NA
Virgil,van Dijk,1,0,75,1852,23,81.1,546.2,232,14,435,86,7,1,3,5.3,16/17,NA,NA
Nathan,Redmond,7,1,126,2898,40,880.3,545.6,1021,13,483,243.8,12,1,2,7.4,16/17,NA,NA
Steven,Davis,0,3,77,2643,37,573,437.6,379,0,450,138.9,10,0,3,0.5,16/17,NA,NA
James,Ward-Prowse,4,4,92,1883,26,729.1,427.4,448,5,377,160.7,9,0,4,1.4,16/17,NA,NA
Harrison,Reed,0,0,3,64,1,1.4,11,0,0,16,1.3,0,0,0,0.1,16/17,NA,NA
Dusan,Tadic,3,7,108,2411,29,1144.1,455.4,819,4,376,242,13,0,4,2,16/17,NA,NA
Jordy,Clasie,1,1,38,1022,15,129.1,122.4,94,3,157,33.3,2,0,3,0.1,16/17,NA,NA
Oriol,Romeu Vidal,1,0,80,3071,42,280.5,585.6,240,4,566,110.7,13,0,11,0.8,16/17,NA,NA
Jay,Rodriguez,5,2,73,893,15,132.8,255.2,507,8,170,89.4,3,0,0,0.3,16/17,NA,NA
Pierre-Emile,Hojbjerg,0,0,38,1300,16,305,222,216,0,232,74.1,6,0,2,1.6,16/17,NA,NA
Shane,Long,3,2,57,1262,23,231.6,201.6,584,2,159,100.1,2,0,2,3,16/17,NA,NA
Charlie,Austin,6,1,62,934,8,134.3,274.2,573,10,218,97.9,6,0,1,1.8,16/17,NA,NA
Shay,Given,0,0,13,450,14,0,144.8,0,3,92,14.4,0,0,1,0.4,16/17,NA,NA
Jack,Butland,0,0,20,450,8,0,121.8,0,2,104,12.2,2,0,0,0.9,16/17,NA,NA
Jakob,Haugaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Ryan,Shawcross,1,2,94,3150,53,65.3,732.2,395,6,549,119.3,9,0,6,1.7,16/17,NA,NA
Marc,Wilson,0,0,0,255,7,34.5,63,5,0,29,10.3,0,0,3,2.3,16/17,NA,NA
Geoff,Cameron,0,1,58,1629,25,165,354.4,174,5,340,69.6,6,0,1,0.4,16/17,NA,NA
Erik,Pieters,0,2,103,3151,50,353.8,583.2,130,9,614,107.1,10,0,5,6.7,16/17,NA,NA
Marc,Muniesa,1,0,34,650,7,59.7,172.4,50,3,153,28.2,3,0,2,0.8,16/17,NA,NA
Phil,Bardsley,0,0,27,1168,17,146.7,155,51,0,174,35.4,3,1,4,0.1,16/17,NA,NA
Philipp,Wollscheid,0,0,1,180,5,3.4,36.4,10,0,23,5,0,0,1,0.2,16/17,NA,NA
Glen,Johnson,0,0,56,1957,34,176.1,350,101,3,376,62.8,6,0,1,0.1,16/17,NA,NA
Dionatan do Nascimento,Teixeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,16/17,NA,NA
Stephen,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Charlie,Adam,1,4,59,1491,23,477.6,263.4,328,5,218,106.7,6,0,7,0.3,16/17,NA,NA
Glenn,Whelan,0,1,62,2276,40,336.6,392.6,41,3,380,77,7,0,5,0.7,16/17,NA,NA
Jonathan,Walters,4,3,72,1304,22,198.7,294,487,3,195,98,6,0,1,0.1,16/17,NA,NA
Marko,Arnautovic,6,7,117,2713,43,768.7,530.4,861,8,401,216.2,9,1,9,1,16/17,NA,NA
Ibrahim,Afellay,0,0,15,384,5,55.2,32,63,0,63,14.8,0,0,0,0,16/17,NA,NA
Xherdan,Shaqiri,4,2,80,1699,21,672.9,293.6,453,8,275,141.6,8,0,2,3,16/17,NA,NA
Giannelli,Imbula,0,1,24,796,20,111.3,65,44,1,126,22,2,0,1,0.1,16/17,NA,NA
Bojan,Krkic,3,0,30,475,12,84.5,125.4,114,4,93,32.1,0,0,1,0.7,16/17,NA,NA
Peter,Crouch,7,3,79,1343,23,260.9,346.6,664,7,262,126.8,4,0,3,3.4,16/17,NA,NA
Mame Biram,Diouf,1,2,51,1385,26,148.6,198,340,2,190,68.4,5,0,3,0.3,16/17,NA,NA
Jose Luis,Mato Sanmartín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Vito,Mannone,0,0,34,810,19,0,247,0,6,187,24.8,2,0,0,0.6,16/17,NA,NA
Jordan,Pickford,0,0,102,2610,50,40,933,0,9,608,97.4,4,0,0,11,16/17,NA,NA
Younes,Kaboul,2,0,57,1910,36,31.5,443.2,243,1,342,71.8,4,0,2,0.6,16/17,NA,NA
John,O'Shea,0,1,47,2158,42,21.3,453.4,98,3,335,57,3,0,5,0.4,16/17,NA,NA
Billy,Jones,1,0,56,2270,49,387.5,476.8,270,6,368,113.5,5,0,8,0.1,16/17,NA,NA
Patrick,van Aanholt,5,1,98,2498,53,534.2,616,383,9,534,153.5,5,0,3,3.6,16/17,NA,NA
Adam,Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Lamine,Koné,1,0,69,2545,46,35.6,624,339,5,451,100.2,5,0,4,1.7,16/17,NA,NA
Jan,Kirchhoff,0,1,12,433,11,30.1,53.6,26,0,61,10.9,0,0,1,0,16/17,NA,NA
Lee,Cattermole,0,0,12,633,13,47.3,65,12,0,63,12.6,0,0,4,0.1,16/17,NA,NA
Sebastian,Larsson,0,3,40,1468,35,402.5,206,109,0,219,71.4,3,1,4,0,16/17,NA,NA
Jack,Rodwell,0,1,38,1492,32,131,235,233,1,200,60,2,0,4,0.6,16/17,NA,NA
