player,nation,pos,team_name,age,born,match_ply,starts,min,mp_90,goals_scored,assists,goals_assists,goals_pen_kicks,pen_kicks,pen_kicks_att,yellow_cards,red_cards,xg,npxg,xag,npxg_xag,prog_carries,prog_passes,prog_rec,goals_90,assists_90,goals_assists_90,goals_pen_kicks_90,goals_assists_pen_kicks_90,xg_90,xag_90,xg_xag_90,npxg_90,npxg_xag_90,season,gk_goals_against,gk_goals_against_90,gk_shots_target_against,gk_saves,gk_saves_perc,gk_clean_sheets,gk_clean_sheets_perc,gk_pen_kicks_att,gk_pen_kicks_allowed,gk_pen_kicks_saved,gk_pen_kicks_missed,gk_pen_kicks_saved_perc
Jack Butland,ENG,GK,Stoke City,23,1993,5,5,450,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,8,1.6,24,16,66.7,2,40,0,0,0,0,NA
Sam Byram,ENG,DF,West Ham,22,1993,18,13,1249,13.9,0,1,1,0,0,0,6,2,NA,NA,NA,NA,NA,NA,NA,0,0.07,0.07,0,0.07,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willy Caballero,ARG,GK,Manchester City,34,1981,17,16,1452,16.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,13,0.81,45,32,75.6,6,37.5,4,2,0,2,0
Yohan Cabaye,FRA,MF,Crystal Palace,30,1986,32,25,2125,23.6,4,2,6,4,0,1,7,0,NA,NA,NA,NA,NA,NA,NA,0.17,0.08,0.25,0.17,0.25,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martín Cáceres,URU,DF,Southampton,29,1987,1,1,90,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Cahill,ENG,DF,Chelsea,30,1985,37,36,3296,36.6,6,0,6,6,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,0.16,0,0.16,0.16,0.16,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Calleri,ARG,FW,West Ham,22,1993,16,4,540,6,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.17,0,0.17,0.17,0.17,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominic Calvert-Lewin,ENG,MF,Everton,19,1997,11,5,347,3.9,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.26,0,0.26,0.26,0.26,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geoff Cameron,USA,MF,Stoke City,31,1985,19,18,1629,18.1,0,2,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0.11,0.11,0,0.11,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraizer Campbell,ENG,FW,Crystal Palace,28,1987,12,0,165,1.8,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.55,0,0.55,0.55,0.55,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emre Can,GER,MF,Liverpool,22,1994,32,26,2371,26.3,5,2,7,5,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,0.19,0.08,0.27,0.19,0.27,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Étienne Capoue,FRA,MF,Watford,28,1988,37,37,3203,35.6,7,1,8,7,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,0.2,0.03,0.22,0.2,0.22,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baily Cargill,ENG,DF,AFC Bournemouth,21,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Carrick,ENG,MF,Manchester United,35,1981,23,18,1600,17.8,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Carroll,ENG,FW,West Ham,27,1989,18,15,1311,14.6,7,1,8,7,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.48,0.07,0.55,0.48,0.55,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Carroll,ENG,MF,Tottenham Hotspur,24,1992,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Carroll,ENG,MF,Swansea City,24,1992,17,16,1387,15.4,1,2,3,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.06,0.13,0.19,0.06,0.19,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
